BHK,Rent,Size,Super Area,Carpet Area,Built Area,Mumbai,Chennai,Bangalore,Hyderabad,Delhi,Kolkata,Semi-Furnished,Unfurnished,Furnished,Bachelors/Family,Bachelors,Family,Bathroom
1,10.799575577092764,6.429719478039138,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
2,9.615805480084347,7.07326971745971,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2
2,9.047821442478408,6.907755278982137,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2
3,9.903487552536127,7.090076835776092,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2
1,9.798127036878302,6.551080335043404,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
3,9.998797732340453,7.003065458786462,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3
2,9.159047077588632,6.856461984594587,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2
2,9.615805480084347,6.732210706467206,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2
2,8.987196820661973,7.090076835776092,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
3,10.46310334047155,7.423568444259167,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3
1,9.798127036878302,6.1092475827643655,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
1,10.46310334047155,5.703782474656201,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1,10.373491181781864,6.063785208687608,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
2,11.77528972943772,4.867534450455582,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
2,9.680344001221918,6.476972362889683,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2
3,10.51867319162636,4.8283137373023015,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2
3,9.615805480084347,6.684611727667927,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2,9.047821442478408,6.907755278982137,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2,8.779557455883728,6.672032945461067,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2
3,9.259130536145614,6.684611727667927,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,2
2,10.126631103850338,7.2078598714324755,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2
2,9.680344001221918,6.956545443151569,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2
1,10.491274217438248,6.371611847231857,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2
4,12.154779351142624,8.294049640102028,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5
1,9.392661928770137,6.684611727667927,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1,8.85366542803745,6.522092798170152,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
3,12.100712129872347,7.003065458786462,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,3
2,9.903487552536127,6.620073206530356,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2
2,9.546812608597396,6.907755278982137,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2
1,8.517193191416238,6.214608098422191,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
3,10.165851817003619,7.495541943884256,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3
1,9.546812608597396,6.040254711277414,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
2,12.100712129872347,6.856461984594587,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,2
2,9.210340371976184,6.956545443151569,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2
2,9.798127036878302,7.003065458786462,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2
2,9.392661928770137,6.733401891837359,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2
2,8.740336742730447,6.551080335043404,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2
4,12.154779351142624,7.575584651557793,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,4
3,10.915088464214607,7.3796321526095525,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,3
2,10.596634733096073,6.620073206530356,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2
1,9.392661928770137,6.1092475827643655,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
2,9.047821442478408,4.0943445622221,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2
3,11.33857207782545,6.907755278982137,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3
2,10.819778284410283,6.621405651764134,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2
